"","NTEEGRP","Number","Total Expenses per books (bilion)","Total Assets per books (billion)","Total Revenue per books (billion)"
"1","Arts",1881,0.89,13.96,1.44
"2","Environment and animals",1025,0.69,5.41,0.91
"3","Higher education",33,0.01,0.07,0
"4","Hospitals and primary care facilities",96,0.06,0.87,0.06
"5","Human services",3178,4.14,13.98,4.7
"6","International",273,0.12,0.81,0.22
"7","Other education",6084,3.2,41.37,3.5
"8","Other health care",1824,5.34,12.36,5.36
"9","Other public and social benefit",55861,57.5,645.69,75.65
"10","Religion related",1424,0.35,3.74,0.61
