"","STATE","Number","Total Expenses per books (bilion)","Total Assets per books (billion)","Total Revenue per books (billion)"
"1","AK",79,0.07,1.04,0.09
"2","AL",781,0.21,2.41,0.29
"3","AP",1,0,0,0
"4","AR",312,0.45,2.05,0.33
"5","AZ",843,0.37,4.48,0.41
"6","CA",7208,10.21,121.12,15.46
"7","CO",1262,0.75,9.35,1.21
"8","CT",1235,0.74,7.04,1.09
"9","DC",326,0.58,5.52,0.54
"10","DE",1173,0.73,9.34,1.01
"11","FL",5083,2.35,22.79,3.35
"12","GA",1346,1.14,11.1,1.55
"13","GU",1,0,0,0
"14","HI",314,0.15,2.12,0.51
"15","IA",742,0.24,2.49,0.26
"16","ID",262,0.08,0.94,0.1
"17","IL",3866,2.78,29.18,3.23
"18","IN",922,2.32,24.53,3.14
"19","KS",633,0.22,2.41,0.37
"20","KY",470,0.2,1.86,0.29
"21","LA",471,0.14,1.48,0.19
"22","MA",2499,1.82,19.28,2.42
"23","MD",1187,1.02,14.71,1.88
"24","ME",339,0.19,1.64,0.21
"25","MI",1844,1.98,24.17,2.1
"26","MN",979,1.48,15.99,2.91
"27","MO",1062,0.75,8.81,1.39
"28","MS",261,0.11,1.4,0.27
"29","MT",262,0.11,1.84,0.17
"30","NC",1288,1.01,9.57,1.27
"31","ND",82,0.02,0.22,0.03
"32","NE",462,1.52,6.83,1.44
"33","NH",407,0.16,1.37,0.16
"34","NJ",2171,7.66,23.61,7.81
"35","NM",274,0.14,1.94,0.3
"36","NV",2412,0.71,6.99,0.67
"37","NY",8365,10.87,121.17,12.41
"38","OH",2469,1.07,10.29,1.1
"39","OK",650,0.55,6.13,0.59
"40","OR",587,0.49,7.16,1.28
"41","PA",4021,2.54,25.23,2.84
"42","PR",8,0.02,0.05,0.03
"43","RI",1375,0.3,3.86,0.31
"44","SC",506,0.14,1.78,0.2
"45","SD",154,0.08,0.89,0.07
"46","TN",780,0.44,4.63,0.46
"47","TX",4270,3.31,34.37,4.11
"48","UT",665,0.33,3.6,0.42
"49","VA",1326,0.84,8.22,1.05
"50","VI",5,0,0.01,0
"51","VT",192,0.07,0.68,0.1
"52","WA",1097,6.29,62.42,7.69
"53","WI",1847,0.69,7.12,0.79
"54","WV",220,0.08,0.9,0.13
"55","WY",233,0.1,1.25,0.21
"56",NA,50,1.69,38.86,2.23
